order_id,order_date,product,region,quantity,unit_price
1,2024-01-01,Phone,North,3,800
2,2024-01-01,Monitor,South,2,300
3,2024-01-01,Phone,Central,1,800
4,2024-01-01,Speaker,West,1,120
5,2024-01-01,Laptop,North,2,1200
6,2024-01-01,Monitor,Central,5,300
7,2024-01-01,Laptop,Central,2,1200
8,2024-01-01,Printer,West,2,250
9,2024-01-01,Tablet,Central,3,600
10,2024-01-01,Laptop,South,4,1200
11,2024-01-01,Mouse,East,2,40
12,2024-01-01,Monitor,East,1,300
13,2024-01-01,Phone,West,1,800
14,2024-01-01,Mouse,East,5,40
15,2024-01-01,Keyboard,North,4,80
16,2024-01-01,Printer,North,4,250
17,2024-01-01,Phone,Central,3,800
18,2024-01-01,Speaker,East,5,120
19,2024-01-01,Monitor,North,1,300
20,2024-01-01,Monitor,East,1,300
21,2024-01-01,Monitor,North,4,300
22,2024-01-01,Keyboard,West,3,80
23,2024-01-01,Headphones,East,3,150
24,2024-01-01,Monitor,East,1,300
25,2024-01-01,Speaker,South,5,120
26,2024-01-01,Monitor,South,4,300
27,2024-01-01,Webcam,East,5,90
28,2024-01-01,Monitor,East,1,300
29,2024-01-01,Monitor,North,3,300
30,2024-01-01,Webcam,East,1,90
31,2024-01-01,Monitor,Central,3,300
32,2024-01-01,Monitor,West,4,300
33,2024-01-01,Tablet,South,3,600
34,2024-01-01,Headphones,South,5,150
35,2024-01-01,Printer,East,5,250
36,2024-01-01,Webcam,Central,4,90
37,2024-01-01,Mouse,South,2,40
38,2024-01-01,Printer,West,1,250
39,2024-01-01,Laptop,North,2,1200
40,2024-01-01,Headphones,West,5,150
41,2024-01-01,Phone,West,4,800
42,2024-01-01,Speaker,West,5,120
43,2024-01-01,Keyboard,Central,1,80
44,2024-01-01,Phone,Central,3,800
45,2024-01-01,Mouse,North,3,40
46,2024-01-01,Webcam,South,4,90
47,2024-01-01,Laptop,East,5,1200
48,2024-01-01,Headphones,Central,1,150
49,2024-01-01,Keyboard,Central,5,80
50,2024-01-01,Monitor,South,3,300
51,2024-01-01,Headphones,Central,5,150
52,2024-01-01,Laptop,Central,3,1200
53,2024-01-01,Tablet,North,1,600
54,2024-01-01,Mouse,East,2,40
55,2024-01-01,Laptop,South,5,1200
56,2024-01-01,Phone,North,4,800
57,2024-01-01,Phone,Central,2,800
58,2024-01-01,Headphones,West,5,150
59,2024-01-01,Headphones,East,5,150
60,2024-01-01,Speaker,West,2,120
61,2024-01-01,Printer,South,3,250
62,2024-01-01,Webcam,East,4,90
63,2024-01-01,Printer,West,1,250
64,2024-01-01,Monitor,South,1,300
65,2024-01-01,Mouse,North,5,40
66,2024-01-01,Printer,South,5,250
67,2024-01-01,Monitor,North,1,300
68,2024-01-01,Laptop,South,1,1200
69,2024-01-01,Laptop,East,1,1200
70,2024-01-01,Printer,South,3,250
71,2024-01-01,Tablet,South,5,600
72,2024-01-01,Headphones,Central,5,150
73,2024-01-01,Tablet,South,4,600
74,2024-01-01,Webcam,South,1,90
75,2024-01-01,Phone,West,3,800
76,2024-01-01,Webcam,West,4,90
77,2024-01-01,Laptop,North,1,1200
78,2024-01-01,Webcam,East,1,90
79,2024-01-01,Monitor,South,2,300
80,2024-01-01,Printer,West,2,250
81,2024-01-01,Webcam,South,3,90
82,2024-01-01,Tablet,South,1,600
83,2024-01-01,Tablet,Central,1,600
84,2024-01-01,Laptop,Central,1,1200
85,2024-01-01,Phone,South,2,800
86,2024-01-01,Webcam,West,4,90
87,2024-01-01,Monitor,West,1,300
88,2024-01-01,Headphones,West,1,150
89,2024-01-01,Webcam,East,4,90
90,2024-01-01,Keyboard,West,5,80
91,2024-01-01,Tablet,South,2,600
92,2024-01-01,Keyboard,South,1,80
93,2024-01-01,Speaker,Central,1,120
94,2024-01-01,Mouse,North,1,40
95,2024-01-01,Speaker,West,5,120
96,2024-01-01,Printer,South,1,250
97,2024-01-01,Printer,North,2,250
98,2024-01-01,Phone,Central,1,800
99,2024-01-01,Monitor,West,1,300
100,2024-01-01,Speaker,South,5,120
101,2024-01-01,Speaker,North,5,120
102,2024-01-01,Phone,West,5,800
103,2024-01-01,Speaker,Central,3,120
104,2024-01-01,Keyboard,South,3,80
105,2024-01-01,Monitor,East,4,300
106,2024-01-01,Headphones,East,4,150
107,2024-01-01,Mouse,North,1,40
108,2024-01-01,Tablet,Central,5,600
109,2024-01-01,Phone,North,5,800
110,2024-01-01,Monitor,Central,3,300
111,2024-01-01,Headphones,East,1,150
112,2024-01-01,Monitor,East,3,300
113,2024-01-01,Headphones,West,5,150
114,2024-01-01,Keyboard,Central,5,80
115,2024-01-01,Laptop,Central,3,1200
116,2024-01-01,Phone,South,3,800
117,2024-01-01,Phone,North,5,800
118,2024-01-01,Headphones,East,3,150
119,2024-01-01,Speaker,South,3,120
120,2024-01-01,Monitor,East,5,300
121,2024-01-01,Tablet,East,1,600
122,2024-01-01,Phone,West,3,800
123,2024-01-01,Laptop,North,3,1200
124,2024-01-01,Headphones,East,2,150
125,2024-01-01,Tablet,Central,4,600
126,2024-01-01,Printer,North,1,250
127,2024-01-01,Phone,South,5,800
128,2024-01-01,Laptop,East,5,1200
129,2024-01-01,Printer,South,4,250
130,2024-01-01,Headphones,North,3,150
131,2024-01-01,Mouse,North,3,40
132,2024-01-01,Monitor,South,1,300
133,2024-01-01,Mouse,Central,4,40
134,2024-01-01,Speaker,South,2,120
135,2024-01-01,Headphones,South,4,150
136,2024-01-01,Laptop,South,3,1200
137,2024-01-01,Webcam,South,3,90
138,2024-01-01,Headphones,North,4,150
139,2024-01-01,Laptop,West,2,1200
140,2024-01-01,Monitor,West,3,300
141,2024-01-01,Keyboard,South,2,80
142,2024-01-01,Laptop,South,4,1200
143,2024-01-01,Mouse,East,1,40
144,2024-01-01,Keyboard,East,5,80
145,2024-01-01,Webcam,Central,3,90
146,2024-01-01,Laptop,North,3,1200
147,2024-01-01,Headphones,Central,3,150
148,2024-01-01,Laptop,North,5,1200
149,2024-01-01,Webcam,East,3,90
150,2024-01-01,Webcam,Central,5,90
151,2024-01-01,Phone,West,5,800
152,2024-01-01,Monitor,East,1,300
153,2024-01-01,Webcam,North,5,90
154,2024-01-01,Printer,South,3,250
155,2024-01-01,Webcam,North,3,90
156,2024-01-01,Speaker,East,1,120
157,2024-01-01,Keyboard,Central,3,80
158,2024-01-01,Webcam,East,4,90
159,2024-01-01,Keyboard,Central,2,80
160,2024-01-01,Monitor,West,4,300
161,2024-01-01,Headphones,Central,5,150
162,2024-01-01,Keyboard,West,5,80
163,2024-01-01,Laptop,East,3,1200
164,2024-01-01,Monitor,West,5,300
165,2024-01-01,Speaker,East,4,120
166,2024-01-01,Tablet,West,2,600
167,2024-01-01,Printer,West,2,250
168,2024-01-01,Phone,East,5,800
169,2024-01-01,Speaker,East,1,120
170,2024-01-01,Monitor,East,2,300
171,2024-01-01,Monitor,South,1,300
172,2024-01-01,Laptop,South,4,1200
173,2024-01-01,Speaker,North,4,120
174,2024-01-01,Webcam,Central,2,90
175,2024-01-01,Webcam,West,4,90
176,2024-01-01,Monitor,South,1,300
177,2024-01-01,Phone,West,2,800
178,2024-01-01,Headphones,Central,4,150
179,2024-01-01,Laptop,Central,2,1200
180,2024-01-01,Phone,West,2,800
181,2024-01-01,Tablet,Central,5,600
182,2024-01-01,Speaker,East,4,120
183,2024-01-01,Speaker,Central,4,120
184,2024-01-01,Printer,West,2,250
185,2024-01-01,Tablet,West,3,600
186,2024-01-01,Monitor,East,5,300
187,2024-01-01,Tablet,South,3,600
188,2024-01-01,Tablet,North,3,600
189,2024-01-01,Monitor,East,3,300
190,2024-01-01,Mouse,Central,1,40
191,2024-01-01,Headphones,South,2,150
192,2024-01-01,Webcam,South,2,90
193,2024-01-01,Phone,West,4,800
194,2024-01-01,Mouse,Central,4,40
195,2024-01-01,Webcam,North,2,90
196,2024-01-01,Webcam,West,5,90
197,2024-01-01,Laptop,Central,4,1200
198,2024-01-01,Tablet,North,3,600
199,2024-01-01,Keyboard,West,4,80
200,2024-01-01,Printer,Central,5,250
201,2024-01-01,Monitor,West,2,300
202,2024-01-01,Keyboard,West,4,80
203,2024-01-01,Laptop,West,3,1200
204,2024-01-01,Webcam,South,4,90
205,2024-01-01,Headphones,Central,5,150
206,2024-01-01,Laptop,West,5,1200
207,2024-01-01,Speaker,North,1,120
208,2024-01-01,Webcam,South,4,90
209,2024-01-01,Headphones,North,3,150
210,2024-01-01,Webcam,East,2,90
211,2024-01-01,Tablet,East,3,600
212,2024-01-01,Webcam,East,4,90
213,2024-01-01,Keyboard,North,4,80
214,2024-01-01,Laptop,Central,1,1200
215,2024-01-01,Mouse,South,1,40
216,2024-01-01,Laptop,North,2,1200
217,2024-01-01,Monitor,North,5,300
218,2024-01-01,Headphones,South,2,150
219,2024-01-01,Tablet,North,5,600
220,2024-01-01,Monitor,West,3,300
221,2024-01-01,Mouse,South,5,40
222,2024-01-01,Speaker,North,2,120
223,2024-01-01,Keyboard,North,5,80
224,2024-01-01,Laptop,East,5,1200
225,2024-01-01,Webcam,West,2,90
226,2024-01-01,Phone,Central,2,800
227,2024-01-01,Phone,East,5,800
228,2024-01-01,Phone,Central,1,800
229,2024-01-01,Mouse,Central,4,40
230,2024-01-01,Mouse,North,5,40
231,2024-01-01,Mouse,North,4,40
232,2024-01-01,Tablet,North,4,600
233,2024-01-01,Mouse,West,2,40
234,2024-01-01,Webcam,South,5,90
235,2024-01-01,Keyboard,Central,5,80
236,2024-01-01,Tablet,West,4,600
237,2024-01-01,Speaker,East,3,120
238,2024-01-01,Monitor,North,3,300
239,2024-01-01,Tablet,South,4,600
240,2024-01-01,Speaker,Central,4,120
241,2024-01-01,Mouse,North,4,40
242,2024-01-01,Mouse,South,4,40
243,2024-01-01,Monitor,East,3,300
244,2024-01-01,Mouse,East,5,40
245,2024-01-01,Keyboard,Central,1,80
246,2024-01-01,Printer,South,1,250
247,2024-01-01,Monitor,West,4,300
248,2024-01-01,Printer,South,4,250
249,2024-01-01,Tablet,West,1,600
250,2024-01-01,Phone,East,2,800
251,2024-01-01,Webcam,South,3,90
252,2024-01-01,Speaker,East,4,120
253,2024-01-01,Printer,Central,3,250
254,2024-01-01,Webcam,Central,3,90
255,2024-01-01,Mouse,West,3,40
256,2024-01-01,Keyboard,East,2,80
257,2024-01-01,Phone,South,3,800
258,2024-01-01,Phone,Central,2,800
259,2024-01-01,Monitor,South,4,300
260,2024-01-01,Keyboard,Central,5,80
261,2024-01-01,Speaker,East,1,120
262,2024-01-01,Monitor,East,2,300
263,2024-01-01,Mouse,South,3,40
264,2024-01-01,Laptop,Central,2,1200
265,2024-01-01,Keyboard,North,1,80
266,2024-01-01,Printer,East,2,250
267,2024-01-01,Tablet,North,1,600
268,2024-01-01,Speaker,East,4,120
269,2024-01-01,Tablet,West,3,600
270,2024-01-01,Headphones,North,3,150
271,2024-01-01,Tablet,North,1,600
272,2024-01-01,Webcam,West,1,90
273,2024-01-01,Speaker,North,2,120
274,2024-01-01,Headphones,Central,3,150
275,2024-01-01,Phone,South,1,800
